bj,#genre#
亚洲旅游台,http://live.catvod.com/smart.php?id=asiatravel_twn
三立综合台,http://live.catvod.com/smart.php?id=sanlizhonghe
三立戏剧,http://live.catvod.com/smart.php?id=sanlixiju_twn
三立台湾台,http://live.catvod.com/smart.php?id=sanlitaiwan
年代新闻,http://live.catvod.com/smart.php?id=niandainews_twn
民视新闻台,http://live.catvod.com/smart.php?id=ftvnew_taiwan
民视台湾台,http://live.catvod.com/smart.php?id=ftvtaiwan_twn
民视第一台,http://live.catvod.com/smart.php?id=lunghuajingdian_twn
民视,http://live.catvod.com/smart.php?id=ftvhd_taiwan
美亚电影台,http://live.catvod.com/smart.php?id=meiyamovie_twn
美食星球,http://live.catvod.com/smart.php?id=foodplanet_twn
龙祥时代,http://live.catvod.com/smart.php?id=lungxiangtime_twn
龙祥时代,http://live.catvod.com/smart.php?id=cb7a1fec69
龙华洋片,http://live.catvod.com/smart.php?id=lunghuawestern_twn
龙华戏剧,http://live.catvod.com/smart.php?id=lunghuaxiju_twn
龙华偶像,http://live.catvod.com/smart.php?id=lunghuaidol_twn
龙华电影,http://live.catvod.com/smart.php?id=xingwei_movie
龙华电影,http://live.catvod.com/smart.php?id=xingwei_movie
靖天卡通,http://live.catvod.com/smart.php?id=jingtiancartoon_twn
靖天国际台,http://live.catvod.com/smart.php?id=jingtianintl_twn
寰宇新闻台,http://live.catvod.com/smart.php?id=huanyuxinwen_twn
华艺moc,http://live.catvod.com/smart.php?id=weishichinese_twn
华艺moc,http://live.catvod.com/smart.php?id=weishichinese_twn
华纳TV,http://live.catvod.com/smart.php?id=WarnerTV
好莱坞电影台,http://live.catvod.com/smart.php?id=hollywoodmovies_twn
非凡新闻,http://live.catvod.com/smart.php?id=feifannews_twn
动物星球,http://live.catvod.com/smart.php?id=animalplanet_twn
東森新闻,http://live.catvod.com/smart.php?id=ettvnews
東森戏剧,http://live.catvod.com/smart.php?id=ettvdrama
東森电影台,http://live.catvod.com/smart.php?id=ettvmovie
东森综合台,http://live.catvod.com/smart.php?id=ettvzhonghe
东森洋片,http://live.catvod.com/smart.php?id=ettvwestern
东森超视,http://live.catvod.com/smart.php?id=ettvsuper
东森财经新闻,http://live.catvod.com/smart.php?id=ettvcaijing_twn
大爱,http://live.catvod.com/smart.php?id=daai_twn
博斯运动II,http://live.catvod.com/smart.php?id=bosisport2_twn
博斯网球,http://live.catvod.com/smart.php?id=bositennis_twn
博斯魅力,http://live.catvod.com/smart.php?id=bosisport1_twn
博斯高球II,http://live.catvod.com/smart.php?id=bosigolf2_twn
博斯高球I,http://live.catvod.com/smart.php?id=bosigolf1_twn
八大综合台,http://live.catvod.com/smart.php?id=badazhonghe
八大戏剧台,http://live.catvod.com/smart.php?id=badadrama
八大第1台,http://live.catvod.com/smart.php?id=badafirst
公视,http://live.catvod.com/smart.php?id=ctv_taiwan
爱奇艺,http://live.catvod.com/smart.php?id=Qiyi
WWE,http://live.catvod.com/smart.php?id=Wwe
TVBS新闻台,http://live.catvod.com/smart.php?id=tvbs_n
TVBS欢乐台,http://live.catvod.com/smart.php?id=tvbshuanle_twn
TVBS,http://live.catvod.com/smart.php?id=tvbs
HBO家庭,http://live.catvod.com/smart.php?id=fyi_twn
HBOHD,http://live.catvod.com/smart.php?id=hbohd_twn
HBO,http://live.catvod.com/smart.php?id=huanyutaiwan_twn
HBO,http://live.catvod.com/smart.php?id=hbosignature_twn
HBO,http://live.catvod.com/smart.php?id=hbohead_twn
HBO,http://live.catvod.com/smart.php?id=Hbo
EYE戏剧,http://live.catvod.com/smart.php?id=eyetvxiju_twn
EYE旅游,http://live.catvod.com/smart.php?id=eyetvtravel_twn
ELTA综合,http://live.catvod.com/smart.php?id=eltazonghe
ELTA影剧,http://live.catvod.com/smart.php?id=eltadrama_twn
ELTA体育1台,http://live.catvod.com/smart.php?id=eltasport1_twn
ELTA体育2台,http://live.catvod.com/smart.php?id=eltasport2_twn
ELTA体育3台,http://live.catvod.com/smart.php?id=eltasport3_twn
ELTA体育4台,http://live.catvod.com/smart.php?id=natgeowild_twn
astro欢喜台,http://live.catvod.com/smart.php?id=Huahee
astroQJ,http://live.catvod.com/smart.php?id=Quanjia
新加坡CNA,http://live.catvod.com/smart.php?id=cna

土拨鼠,#genre#
请不要打赏,1
广东珠江频道,http://api.mytv666.top/api/hk.php?id=6162313131666165376133396363636237633834663162366130663635663031267469643d74762669643d39
广东体育,http://api.mytv666.top/api/hk.php?id=3635306561306164626438636438373731346432656366353839663866326232267469643d74762669643d3131
凤凰卫视中文台,http://api.mytv666.top/api/hk.php?id=3635353536383939393264346132646363626433646461373332353365633339267469643d74762669643d3230
凤凰卫视资讯台,http://api.mytv666.top/api/hk.php?id=3639313932626236616366636537633734323039313738383137613037633739267469643d74762669643d3231
凤凰卫视香港台,http://api.mytv666.top/api/hk.php?id=6366393933363838303835353235313030313837656130343336356238356364267469643d74762669643d3232
TVB翡翠台,http://api.mytv666.top/api/hk.php?id=6133373062306330636436323766386638333930633734343164306361626637267469643d74762669643d3234
TVB无线新闻台,http://api.mytv666.top/api/hk.php?id=3437643561316430306564303532666566613235653961373961303464386662267469643d74762669643d3235
TVB Plus,http://api.mytv666.top/api/hk.php?id=3639643231333366353439326662633736356531346434363133643465663039267469643d74762669643d3236
TVB明珠台,http://api.mytv666.top/api/hk.php?id=3234333631636531363838373231366566333832376434366264306332626165267469643d74762669643d3237
香港有线新闻台,http://api.mytv666.top/api/hk.php?id=3432323435666131343964353936633530396335663430623762353532623439267469643d74762669643d3239
香港有线18台,http://api.mytv666.top/api/hk.php?id=6636336261313634393131303637346636346234653561343663393636303161267469643d74762669643d3330
香港有线18台(备),http://api.mytv666.top/api/hk.php?id=6264643730343538616264326436373663363934306134373364383935363064267469643d74762669643d3331
NOW直播台,http://api.mytv666.top/api/hk.php?id=6636373032643161656535316162363136663334353964363265613064346462267469643d74762669643d3335
NOW新闻台,http://api.mytv666.top/api/hk.php?id=3861666539393633313665393630366237386632616666343339393737373837267469643d74762669643d3336
NOW财经台,http://api.mytv666.top/api/hk.php?id=3464396265323334356563633339626432333161343230393366636639326165267469643d74762669643d3337
ViuTV,http://api.mytv666.top/api/hk.php?id=6661306430313736613735663661373663363331623230303263623561616361267469643d74762669643d3338
ViuTV6,http://api.mytv666.top/api/hk.php?id=6236616335616166663361323639393232353665303837343333653131336466267469643d74762669643d3339
HOY国际财经台,http://api.mytv666.top/api/hk.php?id=6566353737646133643130376364373766366364666231333932636266353434267469643d74762669643d3431
HOY资讯台,http://api.mytv666.top/api/hk.php?id=3036613663316638306536306134313638356161316134316465636662356435267469643d74762669643d3432
HOY TV,http://api.mytv666.top/api/hk.php?id=3861653835393966663939393434646663323366326630316438316232623939267469643d74762669643d3433
港台电视31,http://api.mytv666.top/api/hk.php?id=6334396336393462363037333730353331323135386365643063323965656438267469643d74762669643d3435
港台电视32,http://api.mytv666.top/api/hk.php?id=3335636435633735323034636235316236373935323037366361653331656235267469643d74762669643d3436
中天新闻台,http://api.mytv666.top/api/hk.php?id=3639303839636238623433393637353530386234626331346161646239336166267469643d74762669643d3439
东森新闻台,http://api.mytv666.top/api/hk.php?id=3034663439313837653865616166346561376139613235333434396531666564267469643d74762669643d3530
东森财经新闻台,http://api.mytv666.top/api/hk.php?id=3234393438633333356332626430653464356635333236346565626161316431267469643d74762669643d3531
中视新闻台,http://api.mytv666.top/api/hk.php?id=3639313461653631653063653039636165353132386535623331623263316631267469643d74762669643d3532
台视新闻台,http://api.mytv666.top/api/hk.php?id=3532663033343761633136633334333932346565303765616636633239323362267469643d74762669643d3533
三立新闻台,http://api.mytv666.top/api/hk.php?id=6664313166363665303363346537313533346630306337303761363333393839267469643d74762669643d3534
民视新闻台,http://api.mytv666.top/api/hk.php?id=6133333434353635663133373938343030353333343563353132326433396230267469643d74762669643d3536
华视新闻台,http://api.mytv666.top/api/hk.php?id=6336363138633563363661326531343237616265653233303539356532363065267469643d74762669643d3537
镜电视新闻台,http://api.mytv666.top/api/hk.php?id=6132656663616366343664633865396464656462633736396337666532383663267469643d74762669643d3538
寰宇新闻台,http://api.mytv666.top/api/hk.php?id=3262353734373966643964356430363336303339363333336436636262353133267469643d74762669643d3539
寰宇新闻台湾台,http://api.mytv666.top/api/hk.php?id=6663313334653639326536343765613362363865383137386639663930323237267469643d74762669643d3630
TVBS新闻台,http://api.mytv666.top/api/hk.php?id=6437303339323237356232633666346535353937623264636361613238353236267469643d74762669643d3633
TVBS HD,http://api.mytv666.top/api/hk.php?id=6338353765393031313964363830396232336564343339356139653361633532267469643d74762669643d3635
中视HD,http://api.mytv666.top/api/hk.php?id=3735333965643234313330643235393236666134346364646139393065363839267469643d74762669643d3638
台视HD,http://api.mytv666.top/api/hk.php?id=3837336464383036613733306162366165643731666434336664376263663166267469643d74762669643d3639
民视HD,http://api.mytv666.top/api/hk.php?id=6361363033353131663530376266363361636334336333653632306432396439267469643d74762669643d3730
华视HD,http://api.mytv666.top/api/hk.php?id=3365666436303335663238313031386236313534663061623262383237396633267469643d74762669643d3731
三立台湾台,http://api.mytv666.top/api/hk.php?id=3431663838343031373566326636316465393566653637343436313266653666267469643d74762669643d3733
緯來體育台,http://api.mytv666.top/api/hk.php?id=6330343464373162386136666261663835613165633337366136386437306133267469643d74762669643d3737
纬来日本台,http://api.mytv666.top/api/hk.php?id=3133363034363738393961346338323433306638356263633139386238313034267469643d74762669643d3738
纬来育乐台,http://api.mytv666.top/api/hk.php?id=3330336638356238356263323033303763623537646464323863373231323864267469643d74762669643d3739
DAZN 1,http://api.mytv666.top/api/hk.php?id=6538623163353532633730323639656261623566373466303666663231626464267469643d74762669643d3830
DAZN 2,http://api.mytv666.top/api/hk.php?id=3238313039396131333831376564343766643936376637643132333763656334267469643d74762669643d3831
爱尔达体育1台,http://api.mytv666.top/api/hk.php?id=6539366165663464356333353065326136666264626134656661313536636166267469643d74762669643d3833
爱尔达体育2台,http://api.mytv666.top/api/hk.php?id=3232323063326432373966343263323330313330636461643933386238363034267469643d74762669643d3834
爱尔达体育3台,http://api.mytv666.top/api/hk.php?id=6638656562393265373935386161636631316132316566353837373133656161267469643d74762669643d3835
爱尔达体育4台,http://api.mytv666.top/api/hk.php?id=3536613431373665346133366337643737336535653030616332383839376666267469643d74762669643d3836
大爱一台,http://api.mytv666.top/api/hk.php?id=6362646634373632386563623362633136343831663030346666376561313165267469643d74762669643d3837
大爱二台,http://api.mytv666.top/api/hk.php?id=3562393833313136393864323964396231646531646262373330623138666163267469643d74762669643d3838
HBO HD,http://api.mytv666.top/api/hk.php?id=3938383431396139316232633936396630656331623839303564373336643262267469643d74762669643d3930
好莱坞电影,http://api.mytv666.top/api/hk.php?id=3664303732353764613334376136396233316166646465383731396336333832267469643d74762669643d3931
FOX新聞,http://api.mytv666.top/api/hk.php?id=6238636333303430353139636132346537353732393263386363306238613566267469643d74762669643d3932
CNN新闻,http://api.mytv666.top/api/hk.php?id=3939326166333362313632333064666138616239666138303238373763636636267469643d74762669643d3933
BBC新闻,http://api.mytv666.top/api/hk.php?id=3439633964653730363063316234363066326666323662626530393932643061267469643d74762669643d3934
Discovery,http://api.mytv666.top/api/hk.php?id=3531653631373237666331323161623264633762346463363734623433303237267469643d74762669643d3935
TVBS HD,http://api.mytv666.top/api/hk.php?id=3266393834623966663864373438353433313662666237356336646262653465267469643d74762669643d3937
TVBS新闻台,http://api.mytv666.top/api/hk.php?id=6433326131333730353865386539346239623032306533346562653234623365267469643d74762669643d3938
中天新闻,http://api.mytv666.top/api/hk.php?id=3432626438356234306332353339386439363836663664633634323164393061267469643d74762669643d3939
中天亚洲台,http://api.mytv666.top/api/hk.php?id=3962383334666661326334396461326537383063663333666566333830363536267469643d74762669643d313030
台视新闻,http://api.mytv666.top/api/hk.php?id=3663373532323635333633666462356635623632313130333233393162303838267469643d74762669643d313031
华视新闻,http://api.mytv666.top/api/hk.php?id=3537326339386632386464663735336532316461313764643035633834323661267469643d74762669643d313032
台视财经,http://api.mytv666.top/api/hk.php?id=3430653266396334373235643533373737646262616130373136356362633564267469643d74762669643d313033
中视新闻,http://api.mytv666.top/api/hk.php?id=3935653434333461353033393966666364363031303466346131373436383437267469643d74762669643d313034
非凡新闻,http://api.mytv666.top/api/hk.php?id=6439363266323437646533636237336130353439363933613039653965353631267469643d74762669643d313035
镜新闻,http://api.mytv666.top/api/hk.php?id=3831313462356431643937343764333264343532343837356535666665623032267469643d74762669643d313036
东森新闻,http://api.mytv666.top/api/hk.php?id=3534346532363736323231376661333239383839363464666132363138313131267469643d74762669643d313037
东森财经新闻,http://api.mytv666.top/api/hk.php?id=3562643832313631313434373563326638623863323238613638656438333937267469643d74762669643d313038
半岛新闻,http://api.mytv666.top/api/hk.php?id=3436376230613339633137373638323831303735353638336561633433376535267469643d74762669643d313039
民视新闻台,http://api.mytv666.top/api/hk.php?id=6333356235396430353565313132653234663436373463386363396139623936267469643d74762669643d313130
民视台湾台,http://api.mytv666.top/api/hk.php?id=6261653964303931643764396634653232316134666337633531336261373363267469643d74762669643d313131
寰宇新闻台,http://api.mytv666.top/api/hk.php?id=6266346662396565336462643964373837326266373730326236353237383536267469643d74762669643d313132
寰宇新闻台湾台,http://api.mytv666.top/api/hk.php?id=3033373433646530353534613238376432643166376430666330623766303633267469643d74762669643d313133
寰宇財經台,http://api.mytv666.top/api/hk.php?id=6232313931303432633731343630636431343030336130396662343066306131267469643d74762669643d313134
台视,http://api.mytv666.top/api/hk.php?id=3131376436636639653166326535623238366237646639393164336336303962267469643d74762669643d313135
民视,http://api.mytv666.top/api/hk.php?id=3039313639653531353135383931613266353266353863623032313533613632267469643d74762669643d313136
中视,http://api.mytv666.top/api/hk.php?id=3464346135333265303837393831333236363336666134303261386664336234267469643d74762669643d313138
华视,http://api.mytv666.top/api/hk.php?id=3838353863663263646330383163326466643535306539366535303963653963267469643d74762669643d313139
影迷數位電影台,http://api.mytv666.top/api/hk.php?id=6131303635353630643437386336346438346661633562366261343764303839267469643d74762669643d313233
AMC电影台,http://api.mytv666.top/api/hk.php?id=6533613534396538393766353437626463616663386263386337376463366664267469643d74762669643d313234
靖天电影台,http://api.mytv666.top/api/hk.php?id=3235646236316132333834636665636537663935383763353038393730396532267469643d74762669643d313236
龙华电影,http://api.mytv666.top/api/hk.php?id=3035323564303234633636363432306231623132633130343263343863633231267469643d74762669643d313237
采昌影剧,http://api.mytv666.top/api/hk.php?id=6361386462373364393864616332363139666231356561623434633162633038267469643d74762669643d313238
民视影剧,http://api.mytv666.top/api/hk.php?id=3737616264346339376163646432313336343463303535303963626531336161267469643d74762669643d313239
龙华经典,http://api.mytv666.top/api/hk.php?id=3065633761663630333461656536343531636333616636383031653138653532267469643d74762669643d313330
中视经典,http://api.mytv666.top/api/hk.php?id=3130643637316464346664313538393839303063663564663535386230323339267469643d74762669643d313331
台湾戏剧台,http://api.mytv666.top/api/hk.php?id=3463306332643630643937393638373465353766316635323663316330353239267469643d74762669643d313332
靖洋戏剧台,http://api.mytv666.top/api/hk.php?id=3339666661346639386533613638363831376163336238643537356233633165267469643d74762669643d313333
靖天戏剧台,http://api.mytv666.top/api/hk.php?id=6439376364633336386561313339623337393864633730336461636261613535267469643d74762669643d313334
公视戏剧,http://api.mytv666.top/api/hk.php?id=6166663738326236646135356364343066353033643135666631306136313965267469643d74762669643d313335
龙华戏剧,http://api.mytv666.top/api/hk.php?id=6335633465646430646463353232613834343839636133383266363636333161267469643d74762669643d313336
智林体育台,http://api.mytv666.top/api/hk.php?id=6661303233393533336130386239623762663935626634616431363961633265267469643d74762669643d313339
时尚运动X,http://api.mytv666.top/api/hk.php?id=3731316335346137663835626231396532666131323666623666336162636433267469643d74762669643d313430
靖天育乐台,http://api.mytv666.top/api/hk.php?id=3133636463383564376130636362643433633466316532626264303232346139267469643d74762669643d313431
博斯魅力,http://api.mytv666.top/api/hk.php?id=3261646136616331356534626663666264636461353265646639636262653337267469643d74762669643d313432
博斯高球1,http://api.mytv666.top/api/hk.php?id=3130313532383464316435333863663935383637346638616637633135653036267469643d74762669643d313433
博斯高球2,http://api.mytv666.top/api/hk.php?id=6166333730383733646136646633313335613332646336393233336632613339267469643d74762669643d313434
博斯运动1,http://api.mytv666.top/api/hk.php?id=3031363863653434303439356464313731386538653761353633396138343164267469643d74762669643d313435
博斯运动2,http://api.mytv666.top/api/hk.php?id=3737626338636131613334313234613033343063323464306561653234633336267469643d74762669643d313436
博斯网球,http://api.mytv666.top/api/hk.php?id=3137343335616266356662323735306364623633316338633139636163333932267469643d74762669643d313437
博斯无限,http://api.mytv666.top/api/hk.php?id=6633623534396139613731323734626135326237666638643464613962653639267469643d74762669643d313438
博斯无限2,http://api.mytv666.top/api/hk.php?id=3436396230343062356139353364363634633336313439343562393733363864267469643d74762669643d313439
TRACE SPORTS STARS,http://api.mytv666.top/api/hk.php?id=6363666635636636363761616133303232626634663034373261333634656532267469643d74762669643d313530
視納華仁紀實頻道,http://api.mytv666.top/api/hk.php?id=3733663764303063393331316566396231643232363937646563396431626430267469643d74762669643d313533
中视菁采,http://api.mytv666.top/api/hk.php?id=3265643234663932333564313563356430663036346636303535616139663434267469643d74762669643d313534
八大精彩台,http://api.mytv666.top/api/hk.php?id=3434643962353934663735326130343665373733333532666238666637636236267469643d74762669643d313535
八大综艺台,http://api.mytv666.top/api/hk.php?id=3661663237323836323533336531326231366461356565383364653331353739267469643d74762669643d313536
TVBS精采台,http://api.mytv666.top/api/hk.php?id=3830363432383130613863336265653834636434616138323833633234613230267469643d74762669643d313537
TVBS欢乐台,http://api.mytv666.top/api/hk.php?id=3762336166623866323763356361653833376266313161666333646136363637267469643d74762669643d313538
靖天欢乐台,http://api.mytv666.top/api/hk.php?id=3839366637653866343562363363376538376632633733353235626162363134267469643d74762669643d313539
靖天综合台,http://api.mytv666.top/api/hk.php?id=3730333133323235653333313763616232336432646539356165303036653662267469643d74762669643d313630
靖天资讯台,http://api.mytv666.top/api/hk.php?id=6639383065333066306334313662336238356630636437666434343762656663267469643d74762669643d313631
靖天卡通台,http://api.mytv666.top/api/hk.php?id=3536363563306635366665346566326566613430323937633364666166666632267469643d74762669643d313632
靖天日本台,http://api.mytv666.top/api/hk.php?id=6262333561643236323763616135643836386163393966633066613330393130267469643d74762669643d313633
靖洋卡通台,http://api.mytv666.top/api/hk.php?id=6439333435633230343261376137336237646336336138646138643336303965267469643d74762669643d313634
靖天国际台,http://api.mytv666.top/api/hk.php?id=6364643431346437396338333162316133383236656439623265636138303732267469643d74762669643d313635
靖天映画,http://api.mytv666.top/api/hk.php?id=3366353563616434393236663337313533636664313136376136663331626566267469643d74762669643d313636
爱尔达娱乐,http://api.mytv666.top/api/hk.php?id=3035653866366636306131363162616335323535653161336166626337346133267469643d74762669643d313637
龙华卡通,http://api.mytv666.top/api/hk.php?id=3961623136396366373832363138326665363465376132323166356131303438267469643d74762669643d313638
龙华日韩,http://api.mytv666.top/api/hk.php?id=3736613333383334346630626430353238656638393462343032653335616630267469643d74762669643d313639
龙华偶像,http://api.mytv666.top/api/hk.php?id=3333626561633566626266666436633135393564303031376437623464303066267469643d74762669643d313730
民视综艺,http://api.mytv666.top/api/hk.php?id=3336323233613362366336356466306163343537313533386461366539313539267469643d74762669643d313731
民视第一台,http://api.mytv666.top/api/hk.php?id=6564636432633233613630653031366663363066613933326138326133396637267469643d74762669643d313732
民视旅游,http://api.mytv666.top/api/hk.php?id=6661393234373339313163383837613836623134613563323132623331623164267469643d74762669643d313733
亚洲旅游台,http://api.mytv666.top/api/hk.php?id=3131346439653863323835646337366632363336333039316661353337366164267469643d74762669643d313734
客家电视台,http://api.mytv666.top/api/hk.php?id=6665343666303466303462613539643632643835353964306162643938393163267469643d74762669643d313735
爱放动漫,http://api.mytv666.top/api/hk.php?id=3562643862373266656361343130656362386532626637333639336133643435267469643d74762669643d313736
古典音乐台,http://api.mytv666.top/api/hk.php?id=3236653838643431303631633536366639376331386465663031313732353034267469643d74762669643d313737
猪哥亮歌厅秀,http://api.mytv666.top/api/hk.php?id=6334366330373732363432326261363432663630353664313131336133336535267469643d74762669643d313738
Smart知识台,http://api.mytv666.top/api/hk.php?id=6661353865643032303666663930396536363238356635333236646561323230267469643d74762669643d313832
达文西频道,http://api.mytv666.top/api/hk.php?id=6230333439356236616166633634353864613832303033326136616663343466267469643d74762669643d313833
阿里郎,http://api.mytv666.top/api/hk.php?id=6533306662643238393336626162343736653738343739326163336237306133267469643d74762669643d313834
生活英语台,http://api.mytv666.top/api/hk.php?id=3836366531323635646630393563303430306463366362646364383861396566267469643d74762669643d313835
国际财经,http://api.mytv666.top/api/hk.php?id=6234643339663730613230396264323861376133316232346438306237336535267469643d74762669643d313836
美国之音,http://api.mytv666.top/api/hk.php?id=3537303439366235616565626132373336343264373932613035616532336139267469643d74762669643d313837
好消息,http://api.mytv666.top/api/hk.php?id=3231353036653262326637363437313933653131333137346539636339643364267469643d74762669643d313838
好消息2台,http://api.mytv666.top/api/hk.php?id=6162353130343265306136353463643032353237386139323639396464353461267469643d74762669643d313839
非凡商业,http://api.mytv666.top/api/hk.php?id=6136623135626463613665323762316434633737653937656333353464346237267469643d74762669643d313930
国会频道1,http://api.mytv666.top/api/hk.php?id=3064363636346433313362323964376231393632356566326435333364363634267469643d74762669643d313931
国会频道2,http://api.mytv666.top/api/hk.php?id=6462626262626366326339343734353636323463363264653236316533353839267469643d74762669643d313932
TRACE URBAN,http://api.mytv666.top/api/hk.php?id=3763363134386234363661313032356535343065616461326236356664386638267469643d74762669643d313933
MEZZO LIVE,http://api.mytv666.top/api/hk.php?id=6337376162663362623736626239333832343737666464333931646364623062267469643d74762669643d313934
韩国娱乐台,http://api.mytv666.top/api/hk.php?id=3037633533313562313837343464303738383064306565383833303865616134267469643d74762669643d313935
GinxTV,http://api.mytv666.top/api/hk.php?id=6535383532333535373462306237656133323063613337336366323139633166267469643d74762669643d313936

土拨鼠2,#genre#
请不要打赏,1
凤凰卫视中文台,http://api.mytv666.top/api/hk.php?id=6465653065613934326364336430636165653637343630386633623132626433267469643d77696e74763132332669643d32
凤凰卫视资讯台,http://api.mytv666.top/api/hk.php?id=3466666465333638363063643761373565646565623433626664396162396635267469643d77696e74763132332669643d33
凤凰卫视香港台,http://api.mytv666.top/api/hk.php?id=6236633663616530356662393862393061363963343963633363333434333733267469643d77696e74763132332669643d34
香港有线新闻台,http://api.mytv666.top/api/hk.php?id=6361643536323038326566646537653763653734396561333762376462636366267469643d77696e74763132332669643d36
香港有线18台,http://api.mytv666.top/api/hk.php?id=3335313238613561343466633763316531653463633665636663303964353666267469643d77696e74763132332669643d39
香港有线18台(备),http://api.mytv666.top/api/hk.php?id=6436363132643963643063373766393861373061346161336430353161333461267469643d77696e74763132332669643d3132
TVB无线新闻台,http://api.mytv666.top/api/hk.php?id=6264343831353330323337393639393931616235303439316135313462356130267469643d77696e74763132332669643d3136
TVB翡翠台,http://api.mytv666.top/api/hk.php?id=3262653732393564383135306138663636396562333131366461316635356432267469643d77696e74763132332669643d3230
华丽翡翠台,http://api.mytv666.top/api/hk.php?id=3466653736646563313831666664323931643265643337393439363936313866267469643d77696e74763132332669643d3231
TVB明珠台,http://api.mytv666.top/api/hk.php?id=3433306230326632313132313965323231616462303239343762396634316466267469643d77696e74763132332669643d3232
TVB Plus,http://api.mytv666.top/api/hk.php?id=3639623039646236316664356637656639306231623831633232376366353164267469643d77696e74763132332669643d3233
TVB娱乐新闻台,http://api.mytv666.top/api/hk.php?id=3466626233666436653838353264326461326635633732323366653761633437267469643d77696e74763132332669643d3234
美亚电影台,http://api.mytv666.top/api/hk.php?id=3734346339316538643237306264336264613563663264306232363539656232267469643d77696e74763132332669643d3237
ViuTV,http://api.mytv666.top/api/hk.php?id=6339393931646134323065303937343235303966313764373332346133353265267469643d77696e74763132332669643d3238
ViuTV6,http://api.mytv666.top/api/hk.php?id=3331653464373833613333613463386134633164386334653838356561653135267469643d77696e74763132332669643d3239
NOW直播台,http://api.mytv666.top/api/hk.php?id=3763373566376465616263356362313264316538373738396430313363656137267469643d77696e74763132332669643d3330
NOW新闻台,http://api.mytv666.top/api/hk.php?id=3031623934646639653139313537643561326432643463343838643631316161267469643d77696e74763132332669643d3331
NOW财经台,http://api.mytv666.top/api/hk.php?id=3661316466353339303037343231613961326631373132343166326638666563267469643d77696e74763132332669643d3332
HOY国际财经台,http://api.mytv666.top/api/hk.php?id=3361386235376664363161336266633233643533366564313661313737346630267469643d77696e74763132332669643d3336
HOY TV,http://api.mytv666.top/api/hk.php?id=3363613361353930343765376664626230343135323066643833303864633037267469643d77696e74763132332669643d3337
HOY资讯台,http://api.mytv666.top/api/hk.php?id=3730346462313931396337363365323339383532646232633966303331633463267469643d77696e74763132332669643d3338
港台电视31,http://api.mytv666.top/api/hk.php?id=6630336330336334333234646561366462633461663430653938303762613834267469643d77696e74763132332669643d3430
港台电视32,http://api.mytv666.top/api/hk.php?id=3030323835633661623836393939353163626431613239353335373762336565267469643d77696e74763132332669643d3431
中天新闻台,http://api.mytv666.top/api/hk.php?id=3862366539313935356333316130363734623834353962623032616433353263267469643d77696e74763132332669643d3433
东森新闻台,http://api.mytv666.top/api/hk.php?id=6666323035643663343766316231356134636232653135646535333232336166267469643d77696e74763132332669643d3434
东森财经新闻台,http://api.mytv666.top/api/hk.php?id=3366353564656564303034623865343935613737356162393665633732633138267469643d77696e74763132332669643d3435
年代新闻台,http://api.mytv666.top/api/hk.php?id=3666643635353637663833346366363536386431333931323061356464376332267469643d77696e74763132332669643d3436
寰宇新闻台,http://api.mytv666.top/api/hk.php?id=3564653032633337613964616638353465646263396438356462316234373238267469643d77696e74763132332669643d3437
寰宇新闻台湾台,http://api.mytv666.top/api/hk.php?id=3264386336616633313438633165356234343633333835343932323730646666267469643d77696e74763132332669643d3438
台视新闻台,http://api.mytv666.top/api/hk.php?id=3734336535623139656265303339663361646637333131663633363331653863267469643d77696e74763132332669643d3439
中视新闻台,http://api.mytv666.top/api/hk.php?id=6138663230386338366361363064623465353961333963373563343466316639267469643d77696e74763132332669643d3530
华视新闻台,http://api.mytv666.top/api/hk.php?id=6261363335363330383638353961326461623131616231386263356433316265267469643d77696e74763132332669643d3531
TVBS新闻台,http://api.mytv666.top/api/hk.php?id=6366366232313066623564653734326233383533656239343137313864626639267469643d77696e74763132332669643d3532
三立新闻台,http://api.mytv666.top/api/hk.php?id=3039633665656561383636346338363161356263393430626635646433373264267469643d77696e74763132332669643d3533
镜电视新闻台,http://api.mytv666.top/api/hk.php?id=6463663666393262636638326639623730393065356532633436656361353232267469643d77696e74763132332669643d3535
非凡新闻,http://api.mytv666.top/api/hk.php?id=6535653061616461623036323237633861356363353266366634613166303734267469643d77696e74763132332669643d3536
民视新闻台,http://api.mytv666.top/api/hk.php?id=3866616331333533363464353463346432653139633236633036643261633831267469643d77696e74763132332669643d3538
民视第一台,http://api.mytv666.top/api/hk.php?id=3439383336376563333165643336383130326662303638653865313765396563267469643d77696e74763132332669643d3539
民视台湾台,http://api.mytv666.top/api/hk.php?id=3936623864373237393832636234343734303638633864343932633266353565267469643d77696e74763132332669643d3630
民视影剧台,http://api.mytv666.top/api/hk.php?id=3932633963646136396465373830346233643461306137346538363539353136267469643d77696e74763132332669643d3631
民视旅游台,http://api.mytv666.top/api/hk.php?id=3663636134303964303063353333326433303230353763393836326330643437267469643d77696e74763132332669643d3632
民视综艺台,http://api.mytv666.top/api/hk.php?id=3466353364643062353139316130616161376438323237333565653365343633267469643d77696e74763132332669643d3633
民视,http://api.mytv666.top/api/hk.php?id=3535663430343962396335386334633135326162666337313938633136663933267469643d77696e74763132332669643d3635
